Source: ERA5 reanalysis data using Atlite (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); 19.04.2024; Konstantin Loeffler <kl@wip.tu-berlin.de>
HOUR,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,NONEU_Balkan,SE,SI,SK,TR,UK,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
1,1.513563548,1.281913516,1.861891812,1.33399424,1.352265053,1.125002677,1.238665426,1.398082596,1.689517599,1.289565521,1.398982499,2.615833237,1.615854152,1.731367312,1.374419407,1.803141292,1.44225429,1.223083301,1.436572016,1.232123515,1.3861299,1.169376792,1.849442868,1.668532824,1.955828991,1.399807214,1.420121988,1.609773901,1.909504874,1.374711515,2.0518892800507453,2.306264016172507,1.959447310126582,1.3745649572649574,1.839218235294117,3.4326211031175062,1.8396233173076924,0.722791416474211,3.139607020547945,1.4640195382395382,0.4727974506578948
2,1.511444164,1.292832897,1.863538225,1.330026323,1.375084904,1.145033719,1.242523582,1.394728181,1.736926833,1.289458465,1.424963561,2.609343569,1.604652165,1.732389513,1.386369945,1.78181213,1.428738259,1.245809625,1.426563842,1.263778814,1.384199556,1.173032923,1.904849683,1.686057836,1.973106807,1.390186255,1.395160233,1.623275406,1.899876099,1.390689589,2.144265556612749,2.244448989218329,1.947593829113924,1.3767897435897436,1.8538645098039217,3.463496882494004,1.814375480769231,0.7381399923017705,3.2142446917808223,1.466904761904762,0.46766324013157895
3,1.519403717,1.328471184,1.918260551,1.350033269,1.388471229,1.157587557,1.25008165,1.390142193,1.797369299,1.292342457,1.448220898,2.653032387,1.618107695,1.745492744,1.378150031,1.775378481,1.392012429,1.305416388,1.397457231,1.285016315,1.373471875,1.169805717,1.951363541,1.709439643,2.061504007,1.373255592,1.370866032,1.624392258,1.945679245,1.392582427,2.3472113225499527,1.751735444743935,1.7790149525316457,1.3805213675213674,1.8648864705882355,3.2920235011990404,1.801942307692308,0.7735937259430331,3.398030650684932,1.4754052813852814,0.4635002467105263
4,1.529743624,1.362389773,1.934013102,1.373875635,1.376193671,1.169640397,1.254407005,1.392319052,1.85877334,1.292343854,1.472658485,2.670545175,1.553130537,1.723120857,1.395392414,1.771860515,1.379329456,1.367216041,1.389204507,1.295286043,1.36725389,1.176417554,1.974231147,1.727300418,2.052258686,1.353222286,1.341016828,1.616971394,1.957505655,1.400216825,2.4379171582619725,1.5554250673854444,1.7593393196202531,1.3818103174603171,1.8697823529411768,3.168160191846523,1.793726201923077,0.8114451116243264,3.449858219178082,1.4776621645021646,0.4598564144736842
5,1.532507522,1.401998744,1.951458575,1.390890953,1.364795013,1.197437467,1.256494328,1.389121284,1.892254853,1.291705242,1.491961525,2.669265872,1.551308923,1.725604857,1.382200424,1.762349643,1.356190936,1.403897126,1.38395085,1.314164997,1.362963866,1.176797427,1.987689429,1.731527401,2.058230037,1.336680988,1.341493652,1.62231574,1.972598393,1.401447671,2.493483634633682,1.5171219002695415,1.7260871835443037,1.3835539072039074,1.8670647058823528,2.7206254196642687,1.790570673076923,0.823776712856043,3.34990102739726,1.4792531024531028,0.4577675164473684
6,1.525651156,1.428255591,1.993297946,1.4036106,1.345130187,1.227647326,1.259478371,1.375730632,1.913442404,1.289710744,1.501804264,2.739795211,1.53122422,1.713084227,1.397085302,1.749099437,1.300313683,1.432205355,1.359446476,1.337940845,1.355292524,1.184140491,1.988795926,1.754136046,2.085011644,1.324152643,1.342566507,1.614770781,1.988456312,1.4018847,2.4860659689184907,1.166831266846361,1.55062832278481,1.3856799755799758,1.728439411764706,1.579628537170264,1.7932367788461538,0.8643799846035412,2.583063184931507,1.4819443578643576,0.4596280427631578
7,1.5056000409999999,1.435455951,2.011292224,1.424203319,1.347153911,1.254862305,1.274903461,1.368114327,1.937348939,1.284627917,1.50944387,2.729591838,1.512519813,1.677116546,1.409524897,1.753413133,1.267512581,1.42821828,1.354882309,1.370664365,1.347894222,1.185515105,2.032900079,1.763530149,2.087298122,1.307493577,1.346047325,1.603378886,1.975055859,1.406498582,2.3468900729464006,1.0969407008086254,1.5397844936708862,1.3835035409035408,1.706944509803921,1.3932623501199042,1.7989372596153848,0.8810465742879137,2.1143551369863016,1.480915468975469,0.4607628700657895
8,1.483619337,1.453268104,1.93641761,1.432146125,1.353558613,1.278540302,1.291617115,1.362156323,1.961729027,1.281969672,1.516967279,2.598183825,1.50511129,1.665395669,1.421600834,1.753106009,1.241469496,1.425227975,1.358253617,1.405608939,1.339033986,1.194159774,2.046448521,1.740917874,2.067018062,1.294184968,1.343114855,1.597265153,1.907529412,1.419469035,2.1520183634633683,1.080270956873315,1.5313314082278482,1.3781394383394383,1.6864894117647058,1.269737170263789,1.816716826923077,0.8887145496535797,1.7868686643835614,1.4811142857142856,0.4653563733552632
9,1.463149089,1.45497382,1.564862974,1.43559103,1.349132563,1.298572455,1.300870662,1.352017455,1.953581284,1.278762185,1.504568246,1.963059583,1.43705429,1.619248355,1.390395258,1.687690597,1.167835188,1.425826036,1.324231749,1.426423382,1.333581276,1.178347718,2.016015754,1.58593695,1.757448919,1.282172195,1.362473924,1.576450333,1.74484717,1.425085935,1.620722169362512,1.0694789083557952,1.5462727056962025,1.349095238095238,1.5602486274509804,1.0265693045563549,1.838569230769231,0.9238831023864512,1.2271583904109589,1.482279797979798,0.4797398437499999
10,1.430013939,1.44134207,1.394496367,1.415353959,1.330319594,1.303013677,1.295776689,1.347388254,1.769057405,1.274391977,1.441573984,1.742640651,1.411908505,1.585981826,1.360380973,1.621633015,1.155112121,1.425028621,1.30781936,1.413372049,1.329965038,1.154801318,1.881465712,1.449738788,1.661489775,1.270819618,1.372987901,1.553509356,1.67536635,1.43372765,1.3703515382175704,1.0821975067385443,1.5524783227848102,1.3282366300366302,1.5472529411764704,1.0109079136690649,1.8622338942307688,0.9297598152424944,1.163014041095891,1.4814894372294372,0.4826390213815789
11,1.382584807,1.403340947,1.115285074,1.382041593,1.290530209,1.283628045,1.287698675,1.326381296,1.533529236,1.26761115,1.381822208,1.367916665,1.30844271,1.520057849,1.303932548,1.536691298,1.086596442,1.394527501,1.244652811,1.372769078,1.303883713,1.111880273,1.543238249,1.292692468,1.365699143,1.260991125,1.358826217,1.524024451,1.578948306,1.415719182,0.867687123374564,1.4122860512129376,1.683175,1.2920539682539682,1.5951309803921567,1.2963405275779378,1.8703564903846157,0.8549000769822941,1.105125,1.4858225396825395,0.5010949835526315
12,1.346784611,1.368038211,1.031615633,1.345486553,1.26439758,1.26698735,1.288979703,1.323869536,1.38763676,1.26537182,1.349267426,1.301908358,1.270104309,1.474440173,1.233589899,1.502016204,1.070964354,1.364026382,1.224759134,1.336174579,1.289116653,1.096036276,1.396270851,1.198163397,1.293592265,1.250721481,1.355822224,1.507097931,1.543383971,1.371812794,0.7466501744370441,1.4249309973045818,1.7027636075949368,1.2751513431013433,1.60254862745098,1.3154326139088728,1.8927146634615384,0.8365985758275596,1.0865736301369862,1.486843347763348,0.5153817023026316
13,1.329477623,1.353259996,0.984609128,1.330967744,1.25130873,1.25533331,1.291006742,1.316593534,1.277375203,1.263972181,1.333385281,1.261038976,1.242197934,1.425851231,1.206835992,1.495265459,1.06340001,1.338907813,1.194666933,1.317454271,1.276917509,1.091270186,1.302128442,1.140143557,1.250739042,1.243455892,1.371271333,1.485579907,1.523568351,1.33710408,0.6833202664129401,1.4093475741239894,1.721937658227848,1.2636613553113554,1.6207309803921568,1.3518971223021583,1.9140076923076923,0.8070549268668207,1.1303481164383562,1.4871139393939394,0.5374963404605263
14,1.324942299,1.395469485,0.979828017,1.32059119,1.25915573,1.252007392,1.295957541,1.310992039,1.20536752,1.264357117,1.339045909,1.263237389,1.239747206,1.41983455,1.199117674,1.480687042,1.070585692,1.386752706,1.166643201,1.309606549,1.274102761,1.105828549,1.167283334,1.125627707,1.239074694,1.238406423,1.377255479,1.476214893,1.513046363,1.308677122,0.6536888043133523,1.4221153638814017,1.735621993670886,1.2585241758241756,1.6368060784313725,1.3853772182254198,1.9320538461538463,0.7763655119322556,1.2102936643835618,1.4858782395382395,0.5500988075657895
15,1.33498565,1.469961754,1.090095875,1.339391722,1.27259614,1.263691426,1.301465963,1.290303777,1.140132962,1.262155954,1.342395441,1.341175507,1.253080669,1.434812698,1.179630648,1.463083254,1.063230725,1.449549129,1.116534654,1.315709158,1.264380518,1.138636768,1.06963292,1.187780154,1.319300223,1.23603801,1.397949655,1.473774363,1.588676495,1.303700721,0.6383133206470029,1.509564757412399,1.7878738924050634,1.2644567155067152,1.7145119607843136,1.643240527577938,1.9520314903846157,0.7143250962278676,1.550442123287671,1.4806522077922075,0.5696634457236842
16,1.372490053,1.505837723,1.205479707,1.390632933,1.330409737,1.305230955,1.316077223,1.26903214,1.149304105,1.260418391,1.359922616,1.476340697,1.293672613,1.467766741,1.200559765,1.478995865,1.067984056,1.476063174,1.094322938,1.340193628,1.264968055,1.179609397,1.059617072,1.295396721,1.418573102,1.23507438,1.466302426,1.488674002,1.678866148,1.314990403,0.667878433238186,1.7879399595687333,1.8257775316455696,1.2765833333333332,1.7271711764705884,2.0741470023980813,1.966703125,0.6875749807544266,1.6854037671232878,1.476028253968254,0.5930686677631579
17,1.430314449,1.498903007,1.348838618,1.411741691,1.396881627,1.356103936,1.330040434,1.236363052,1.195803065,1.259092759,1.394193793,1.570891122,1.397053901,1.518151154,1.249973297,1.562254384,1.075365752,1.487027628,1.09120966,1.385809834,1.264197061,1.216080593,1.070772202,1.403726557,1.486769773,1.235469499,1.59287545,1.511954171,1.745048256,1.332580469,0.7430597209007295,1.8363940700808628,1.8311943829113924,1.2913744200244202,1.7331733333333337,2.1339333333333337,1.9820014423076924,0.6707037336412625,1.7877936643835617,1.470467619047619,0.6055005345394736
18,1.479416155,1.490332481,1.564276962,1.423994114,1.466233604,1.397063595,1.340733254,1.185079932,1.295274191,1.257868599,1.417521579,1.83937707,1.419908583,1.564102502,1.281072285,1.658166808,1.090240514,1.484236676,1.088121762,1.420352503,1.262083737,1.260574744,1.184208641,1.488435016,1.602041366,1.234971572,1.629424036,1.530502195,1.848993087,1.344643908,1.01661192515065,2.0573258760107818,1.8684746044303795,1.3111677045177046,1.779627254901961,2.622370503597122,1.9950129807692307,0.6492244418783679,2.2022328767123285,1.448831630591631,0.6184651726973684
19,1.5066281,1.481118817,1.610199811,1.418805837,1.518106738,1.422927767,1.341675186,1.151762648,1.371317597,1.256870186,1.427261847,1.878886416,1.456312693,1.605144109,1.316215394,1.698621418,1.097751401,1.449150421,1.09266055,1.446751309,1.260703286,1.296700289,1.291710977,1.52208028,1.614812501,1.2347337330000001,1.646446665,1.539834118,1.882205395,1.340224898,1.152386171899778,2.094518733153639,1.8676742879746835,1.3206075091575091,1.7816633333333332,2.741820383693046,2.009381971153846,0.6479978444957659,2.309303938356164,1.4447268686868688,0.6378306332236842
